#Label;x;y;z
target 111;159.273922;9.543125;-0.208331
target 113;113.186047;9.540774;-0.196740
target 114;107.018551;9.554110;-0.208922
target 115;141.890651;10.022111;-0.199275
target 116;130.211381;9.951320;-0.187625
target 117;117.534771;9.535931;-0.198639
target 119;150.001715;9.552799;-0.193220
target 120;154.711820;9.554137;-0.200565
target 121;149.985410;10.052824;-0.207518
target 131;130.234382;9.545617;-0.189355
target 136;99.994385;9.990349;-0.196826
target 140;159.244462;9.945411;-0.192427
target 142;134.323819;9.947065;-0.205434
target 144;125.024258;9.554304;-0.203292
target 145;134.333381;9.562393;-0.205537
target 147;99.990488;9.550775;-0.195026
target 149;107.036789;9.972501;-0.210221
target 150;113.178572;9.998560;-0.190499
target 151;154.702271;9.959805;-0.197938
target 153;125.056050;9.964203;-0.207708
target 154;141.897478;9.542088;-0.201774
target 156;117.528598;9.996900;-0.203127
