marker;x;y;z
target 62;-76.92770134390;39.02887932060;34.05600000000
target 61;-76.92767478790;39.02887380350;34.04500000000
target 60;-76.92764773060;39.02886719290;34.07900000000
target 47;-76.92772221630;39.02886708760;33.97300000000
target 59;-76.92762027090;39.02886101430;34.09600000000
target 46;-76.92769534230;39.02886090260;34.03600000000
target 58;-76.92759335290;39.02885565770;34.10600000000
target 45;-76.92766804340;39.02885501780;34.03100000000
target 31;-76.92771263930;39.02885363050;34.03900000000
target 57;-76.92756726680;39.02884950350;34.11800000000
target 44;-76.92764134630;39.02884871700;34.04100000000
target 30;-76.92768545990;39.02884747830;34.02900000000
target 56;-76.92753963550;39.02884396890;34.13300000000
target 43;-76.92761402770;39.02884283490;34.05500000000
target 29;-76.92765854370;39.02884118040;34.01600000000
target 16;-76.92773211750;39.02884069880;33.96900000000
target 55;-76.92751268600;39.02883679300;34.13700000000
target 42;-76.92758710160;39.02883673860;34.06700000000
target 28;-76.92763142440;39.02883529900;34.01000000000
target 15;-76.92770512580;39.02883462560;34.01700000000
target 54;-76.92748622520;39.02883141480;34.16300000000
target 41;-76.92755978740;39.02883098910;34.08500000000
target 27;-76.92760438690;39.02882925920;34.01500000000
target 14;-76.92767850780;39.02882806310;34.03000000000
target 53;-76.92745919850;39.02882479090;34.21400000000
target 40;-76.92753277590;39.02882478950;34.09000000000
target 26;-76.92757727040;39.02882308190;34.04900000000
target 13;-76.92765096550;39.02882243360;34.00200000000
target 39;-76.92750562970;39.02881878050;34.11400000000
target 52;-76.92743205050;39.02881832270;34.20000000000
target 25;-76.92755033710;39.02881707770;34.06700000000
target 12;-76.92762425500;39.02881649230;34.02400000000
target 51;-76.92740449200;39.02881278260;34.21000000000
target 38;-76.92747860660;39.02881259410;34.12600000000
target 24;-76.92752334000;39.02881086700;34.07000000000
target 11;-76.92759627510;39.02880961230;34.04200000000
target 37;-76.92745156190;39.02880667160;34.11800000000
target 50;-76.92737794500;39.02880584740;34.19800000000
target 23;-76.92749629540;39.02880490680;34.12700000000
target 10;-76.92756982610;39.02880424870;34.04600000000
target 49;-76.92734974690;39.02880035820;34.19200000000
target 36;-76.92742461880;39.02880015170;34.14900000000
target 22;-76.92746901890;39.02879900650;34.11700000000
target 9;-76.92754269690;39.02879826330;34.04900000000
target 35;-76.92739737020;39.02879407000;34.14700000000
target 48;-76.92732361130;39.02879397720;34.20500000000
target 8;-76.92751569720;39.02879234080;34.06100000000
target 21;-76.92744262370;39.02879183000;34.15900000000
target 20;-76.92741482620;39.02878687180;34.14100000000
target 34;-76.92737020420;39.02878676510;34.15600000000
target 7;-76.92748842970;39.02878623750;34.07900000000
target 33;-76.92734290080;39.02878050200;34.16100000000
target 6;-76.92746161500;39.02878008540;34.06800000000
target 19;-76.92738724260;39.02877978110;34.11500000000
target 32;-76.92731674280;39.02877538190;34.14100000000
target 5;-76.92743465030;39.02877408390;34.08300000000
target 18;-76.92736111330;39.02877401560;34.15700000000
target 4;-76.92740751580;39.02876776990;34.10400000000
target 17;-76.92733384310;39.02876690180;34.15500000000
target 3;-76.92738055460;39.02876155910;34.08700000000
target 2;-76.92735347490;39.02875531770;34.13100000000
target 1;-76.92732678860;39.02874949140;34.12900000000
